date,open,high,low,close,volume,average,barCount
2025-05-29 09:30:00-04:00,44.37,44.46,44.13,44.15,1061696.0,44.335,2179
2025-05-29 09:35:00-04:00,44.15,44.19,44.06,44.15,536690.0,44.114,1301
2025-05-29 09:40:00-04:00,44.15,44.2,44.09,44.11,251649.0,44.153,933
2025-05-29 09:45:00-04:00,44.11,44.13,44.0,44.07,263972.0,44.083,980
2025-05-29 09:50:00-04:00,44.07,44.15,44.03,44.15,227121.0,44.086,870
2025-05-29 09:55:00-04:00,44.14,44.18,44.01,44.18,268338.0,44.11,940
2025-05-29 10:00:00-04:00,44.17,44.24,44.15,44.18,263138.0,44.197,991
2025-05-29 10:05:00-04:00,44.18,44.18,44.02,44.03,309058.0,44.098,1094
2025-05-29 10:10:00-04:00,44.04,44.07,44.0,44.07,359536.0,44.036,891
2025-05-29 10:15:00-04:00,44.06,44.11,43.97,44.0,329659.0,44.041,894
2025-05-29 10:20:00-04:00,44.0,44.08,43.97,44.07,277944.0,44.035,1012
2025-05-29 10:25:00-04:00,44.06,44.15,44.06,44.14,313472.0,44.124,928
2025-05-29 10:30:00-04:00,44.13,44.16,44.06,44.07,392007.0,44.125,1132
2025-05-29 10:35:00-04:00,44.07,44.14,44.06,44.11,364285.0,44.117,985
2025-05-29 10:40:00-04:00,44.1,44.1,44.03,44.07,156733.0,44.062,447
2025-05-29 10:45:00-04:00,44.07,44.12,44.05,44.12,161730.0,44.095,439
2025-05-29 10:50:00-04:00,44.12,44.17,44.09,44.15,228387.0,44.14,620
2025-05-29 10:55:00-04:00,44.14,44.19,44.12,44.16,214531.0,44.162,536
2025-05-29 11:00:00-04:00,44.16,44.18,44.09,44.11,215778.0,44.137,616
2025-05-29 11:05:00-04:00,44.1,44.14,44.08,44.09,218920.0,44.101,575
2025-05-29 11:10:00-04:00,44.09,44.17,44.08,44.09,339496.0,44.121,776
2025-05-29 11:15:00-04:00,44.08,44.17,44.08,44.14,352262.0,44.119,813
2025-05-29 11:20:00-04:00,44.13,44.18,44.12,44.14,195596.0,44.155,523
2025-05-29 11:25:00-04:00,44.15,44.2,44.14,44.17,249644.0,44.171,636
2025-05-29 11:30:00-04:00,44.16,44.17,44.0,44.04,325122.0,44.08,865
2025-05-29 11:35:00-04:00,44.03,44.07,44.0,44.02,380688.0,44.032,826
2025-05-29 11:40:00-04:00,44.02,44.08,44.01,44.06,221287.0,44.046,497
2025-05-29 11:45:00-04:00,44.07,44.11,44.03,44.07,454069.0,44.08,882
2025-05-29 11:50:00-04:00,44.07,44.14,44.06,44.08,233480.0,44.11,474
2025-05-29 11:55:00-04:00,44.07,44.09,43.9,43.96,371125.0,43.992,959
2025-05-29 12:00:00-04:00,43.96,44.0,43.91,43.98,318992.0,43.954,892
2025-05-29 12:05:00-04:00,43.98,43.99,43.94,43.97,225164.0,43.966,578
2025-05-29 12:10:00-04:00,43.96,44.03,43.96,44.02,300376.0,43.996,794
2025-05-29 12:15:00-04:00,44.02,44.08,44.02,44.07,180274.0,44.048,472
2025-05-29 12:20:00-04:00,44.07,44.09,44.02,44.05,256661.0,44.053,594
2025-05-29 12:25:00-04:00,44.05,44.07,44.03,44.06,284957.0,44.054,604
2025-05-29 12:30:00-04:00,44.05,44.08,44.04,44.07,189539.0,44.064,482
2025-05-29 12:35:00-04:00,44.07,44.09,44.03,44.04,315049.0,44.06,687
2025-05-29 12:40:00-04:00,44.04,44.06,44.02,44.05,180215.0,44.045,424
2025-05-29 12:45:00-04:00,44.05,44.08,44.04,44.06,251450.0,44.057,543
2025-05-29 12:50:00-04:00,44.07,44.09,44.04,44.09,139115.0,44.067,377
2025-05-29 12:55:00-04:00,44.08,44.14,44.07,44.12,165898.0,44.108,447
2025-05-29 13:00:00-04:00,44.12,44.16,44.1,44.11,209016.0,44.137,485
2025-05-29 13:05:00-04:00,44.12,44.13,44.08,44.09,231186.0,44.108,525
2025-05-29 13:10:00-04:00,44.09,44.14,44.07,44.14,283447.0,44.102,627
2025-05-29 13:15:00-04:00,44.14,44.15,44.09,44.1,177024.0,44.115,459
2025-05-29 13:20:00-04:00,44.11,44.13,44.05,44.06,463851.0,44.085,875
2025-05-29 13:25:00-04:00,44.06,44.08,44.03,44.05,226028.0,44.049,535
2025-05-29 13:30:00-04:00,44.04,44.08,44.03,44.05,190474.0,44.054,459
2025-05-29 13:35:00-04:00,44.05,44.08,44.04,44.07,146101.0,44.062,443
2025-05-29 13:40:00-04:00,44.07,44.1,44.06,44.1,184230.0,44.083,517
2025-05-29 13:45:00-04:00,44.09,44.15,44.09,44.11,182724.0,44.121,495
2025-05-29 13:50:00-04:00,44.11,44.15,44.1,44.12,227011.0,44.137,546
2025-05-29 13:55:00-04:00,44.11,44.13,44.08,44.09,125148.0,44.099,351
2025-05-29 14:00:00-04:00,44.09,44.14,44.09,44.13,134094.0,44.118,318
2025-05-29 14:05:00-04:00,44.14,44.16,44.13,44.15,205113.0,44.145,562
2025-05-29 14:10:00-04:00,44.15,44.15,44.11,44.13,129942.0,44.129,395
2025-05-29 14:15:00-04:00,44.13,44.13,44.04,44.05,213750.0,44.087,522
2025-05-29 14:20:00-04:00,44.05,44.08,44.03,44.05,215848.0,44.044,674
2025-05-29 14:25:00-04:00,44.06,44.1,44.05,44.08,118463.0,44.075,368
2025-05-29 14:30:00-04:00,44.08,44.15,44.06,44.13,541173.0,44.108,1293
2025-05-29 14:35:00-04:00,44.13,44.16,44.13,44.14,120852.0,44.142,360
2025-05-29 14:40:00-04:00,44.13,44.18,44.13,44.16,176258.0,44.16,471
2025-05-29 14:45:00-04:00,44.16,44.19,44.16,44.18,171173.0,44.173,487
2025-05-29 14:50:00-04:00,44.18,44.19,44.14,44.15,157459.0,44.168,362
2025-05-29 14:55:00-04:00,44.15,44.16,44.07,44.11,267561.0,44.115,632
2025-05-29 15:00:00-04:00,44.11,44.16,44.1,44.14,143610.0,44.136,394
2025-05-29 15:05:00-04:00,44.13,44.14,44.06,44.09,306030.0,44.096,789
2025-05-29 15:10:00-04:00,44.09,44.13,44.08,44.08,159982.0,44.101,446
2025-05-29 15:15:00-04:00,44.09,44.11,44.07,44.09,172174.0,44.093,432
2025-05-29 15:20:00-04:00,44.09,44.11,44.07,44.08,224459.0,44.087,559
2025-05-29 15:25:00-04:00,44.08,44.09,44.02,44.02,211567.0,44.06,546
2025-05-29 15:30:00-04:00,44.02,44.13,44.02,44.13,344458.0,44.09,827
2025-05-29 15:35:00-04:00,44.13,44.15,44.12,44.12,294428.0,44.139,716
2025-05-29 15:40:00-04:00,44.12,44.16,44.12,44.14,511733.0,44.142,968
2025-05-29 15:45:00-04:00,44.14,44.22,44.12,44.2,362248.0,44.178,893
2025-05-29 15:50:00-04:00,44.2,44.25,44.17,44.19,666829.0,44.217,1623
2025-05-29 15:55:00-04:00,44.19,44.28,44.18,44.27,1267086.0,44.234,3383
2025-05-30 09:30:00-04:00,44.19,44.23,43.92,44.02,783853.0,44.094,1554
2025-05-30 09:35:00-04:00,44.01,44.02,43.86,43.86,407363.0,43.914,1167
