date,open,high,low,close,volume,average,barCount
2025-05-29 09:30:00-04:00,71.0,71.05,70.46,70.52,407585.0,70.825,1419
2025-05-29 09:35:00-04:00,70.52,70.81,70.46,70.77,218679.0,70.7,1387
2025-05-29 09:40:00-04:00,70.78,70.92,70.75,70.86,119151.0,70.844,780
2025-05-29 09:45:00-04:00,70.86,70.92,70.76,70.88,135152.0,70.841,936
2025-05-29 09:50:00-04:00,70.88,70.9,70.79,70.89,132006.0,70.838,916
2025-05-29 09:55:00-04:00,70.89,70.9,70.76,70.81,136194.0,70.796,974
2025-05-29 10:00:00-04:00,70.81,70.95,70.77,70.94,107824.0,70.831,754
2025-05-29 10:05:00-04:00,70.94,71.13,70.92,71.11,162130.0,71.03,777
2025-05-29 10:10:00-04:00,71.11,71.16,71.07,71.09,130791.0,71.119,819
2025-05-29 10:15:00-04:00,71.09,71.11,71.02,71.03,88409.0,71.072,550
2025-05-29 10:20:00-04:00,71.02,71.11,71.0,71.06,91688.0,71.062,653
2025-05-29 10:25:00-04:00,71.06,71.1,71.0,71.02,84980.0,71.044,608
2025-05-29 10:30:00-04:00,71.02,71.03,70.9,70.91,88637.0,70.983,608
2025-05-29 10:35:00-04:00,70.91,71.03,70.9,70.97,113858.0,70.972,739
2025-05-29 10:40:00-04:00,70.96,70.99,70.9,70.92,70290.0,70.958,528
2025-05-29 10:45:00-04:00,70.91,70.96,70.88,70.92,62052.0,70.914,443
2025-05-29 10:50:00-04:00,70.91,70.94,70.87,70.9,56895.0,70.906,399
2025-05-29 10:55:00-04:00,70.9,70.95,70.88,70.95,54744.0,70.921,392
2025-05-29 11:00:00-04:00,70.95,70.97,70.84,70.86,63213.0,70.892,404
2025-05-29 11:05:00-04:00,70.85,70.98,70.84,70.95,52513.0,70.921,344
2025-05-29 11:10:00-04:00,70.95,70.99,70.84,70.86,67088.0,70.932,446
2025-05-29 11:15:00-04:00,70.86,70.9,70.84,70.87,38734.0,70.881,249
2025-05-29 11:20:00-04:00,70.87,70.92,70.86,70.91,50836.0,70.895,272
2025-05-29 11:25:00-04:00,70.91,70.99,70.88,70.98,45233.0,70.926,301
2025-05-29 11:30:00-04:00,70.98,71.01,70.84,70.87,57583.0,70.936,406
2025-05-29 11:35:00-04:00,70.87,70.93,70.85,70.88,39331.0,70.889,272
2025-05-29 11:40:00-04:00,70.88,70.9,70.84,70.84,34810.0,70.869,223
2025-05-29 11:45:00-04:00,70.84,70.86,70.81,70.82,35639.0,70.83,245
2025-05-29 11:50:00-04:00,70.83,70.88,70.81,70.84,45528.0,70.849,312
2025-05-29 11:55:00-04:00,70.84,70.86,70.75,70.82,58814.0,70.802,374
2025-05-29 12:00:00-04:00,70.81,70.92,70.75,70.92,41741.0,70.822,274
2025-05-29 12:05:00-04:00,70.92,70.92,70.87,70.89,54240.0,70.897,242
2025-05-29 12:10:00-04:00,70.89,70.95,70.85,70.94,42899.0,70.895,271
2025-05-29 12:15:00-04:00,70.95,70.99,70.94,70.98,46464.0,70.974,280
2025-05-29 12:20:00-04:00,70.98,71.0,70.95,71.0,35962.0,70.975,255
2025-05-29 12:25:00-04:00,70.99,71.0,70.94,70.97,41323.0,70.968,280
2025-05-29 12:30:00-04:00,70.97,71.01,70.96,71.01,49577.0,70.985,269
2025-05-29 12:35:00-04:00,71.01,71.01,70.96,70.99,47172.0,70.98,283
2025-05-29 12:40:00-04:00,70.99,71.03,70.98,71.03,30575.0,70.998,180
2025-05-29 12:45:00-04:00,71.02,71.03,70.99,71.01,49189.0,71.001,276
2025-05-29 12:50:00-04:00,71.01,71.06,70.99,71.05,54738.0,71.028,308
2025-05-29 12:55:00-04:00,71.05,71.11,71.05,71.09,47586.0,71.082,313
2025-05-29 13:00:00-04:00,71.09,71.13,71.07,71.11,54789.0,71.108,366
